     Src IP Addr,     Dst IP Addr,     bps, Duration,        Date first seen,         Date last seen
    81.19.104.45,   217.15.20.194,       0,    0.000,2020-02-25 08:30:03.800,2020-02-25 08:30:03.800
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:30:07.280,2020-02-25 08:30:07.280
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:30:07.280,2020-02-25 08:30:07.280
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:30:07.280,2020-02-25 08:30:07.280
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:30:07.280,2020-02-25 08:30:07.280
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:30:07.280,2020-02-25 08:30:07.280
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:30:07.280,2020-02-25 08:30:07.280
  23.226.231.226,   217.15.20.194,       0,    0.000,2020-02-25 08:30:08.880,2020-02-25 08:30:08.880
   13.94.251.244,   217.15.20.194,     470,  125.800,2020-02-25 08:28:03.610,2020-02-25 08:30:09.410
  23.226.231.226,   217.15.20.194,       1,  518.320,2020-02-25 08:21:32.040,2020-02-25 08:30:10.360
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:11.310,2020-02-25 08:30:11.310
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:11.320,2020-02-25 08:30:11.320
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:11.340,2020-02-25 08:30:11.340
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:11.340,2020-02-25 08:30:11.340
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:13.990,2020-02-25 08:30:13.990
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:13.990,2020-02-25 08:30:13.990
   192.168.250.3,  23.226.231.226,      78,   31.460,2020-02-25 08:29:43.130,2020-02-25 08:30:14.590
   68.232.34.200,   217.15.20.194,     508,  180.020,2020-02-25 08:27:17.500,2020-02-25 08:30:17.520
  192.168.250.27,   68.232.34.200,     120,  180.060,2020-02-25 08:27:17.460,2020-02-25 08:30:17.520
    92.118.38.58,   217.15.20.194,     740,   11.090,2020-02-25 08:30:07.210,2020-02-25 08:30:18.300
   192.168.250.3,    92.118.38.58,     701,   11.090,2020-02-25 08:30:07.210,2020-02-25 08:30:18.300
   192.168.250.3,  23.226.231.226,       8,  541.690,2020-02-25 08:21:19.100,2020-02-25 08:30:20.790
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:30:21.120,2020-02-25 08:30:21.120
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:30:21.120,2020-02-25 08:30:21.120
  23.226.231.226,   217.15.20.194,       0,    0.000,2020-02-25 08:30:21.740,2020-02-25 08:30:21.740
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:30:23.430,2020-02-25 08:30:23.430
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:30:23.430,2020-02-25 08:30:23.430
  192.168.250.50,  173.194.222.95,       0,    0.000,2020-02-25 08:30:23.440,2020-02-25 08:30:23.440
  173.194.222.95,   217.15.20.194,       0,    0.000,2020-02-25 08:30:23.440,2020-02-25 08:30:23.440
  192.168.250.50,   77.111.247.41,     151,  144.260,2020-02-25 08:27:59.810,2020-02-25 08:30:24.070
   77.111.247.41,   217.15.20.194,     115,  135.240,2020-02-25 08:28:08.860,2020-02-25 08:30:24.100
