        Date first seen, Duration,     Src IP Addr,     Dst IP Addr,   Bytes
2020-02-25 08:30:07.210,   11.090,   192.168.250.3,    92.118.38.58,     972
2020-02-25 08:21:19.100,  541.690,   192.168.250.3,  23.226.231.226,     572
2020-02-25 08:30:21.120,    0.000,  192.168.250.27,   192.168.250.1,     150
2020-02-25 08:30:21.120,    0.000,   192.168.250.1,  192.168.250.27,     468
2020-02-25 08:30:21.740,    0.000,  23.226.231.226,   217.15.20.194,      80
2020-02-25 08:30:23.430,    0.000,  192.168.250.50,   192.168.250.1,     146
2020-02-25 08:30:23.430,    0.000,   192.168.250.1,  192.168.250.50,     464
2020-02-25 08:30:23.440,    0.000,  192.168.250.50,  173.194.222.95,    4328
2020-02-25 08:30:23.440,    0.000,  173.194.222.95,   217.15.20.194,   27012
2020-02-25 08:27:59.810,  144.260,  192.168.250.50,   77.111.247.41,    2739
2020-02-25 08:28:08.860,  135.240,   77.111.247.41,   217.15.20.194,    1948
2020-02-25 08:30:24.770,    0.000,     172.253.5.2,   217.15.20.194,     162
2020-02-25 08:30:24.780,    0.000, 192.168.250.247,     172.253.5.2,     344
2020-02-25 08:30:24.780,    0.000,     74.125.41.3,   217.15.20.194,     162
2020-02-25 08:30:24.780,    0.000, 192.168.250.247,     74.125.41.3,     344
2020-02-25 08:29:56.010,   31.580,   192.168.250.3,  23.226.231.226,     308
2020-02-25 08:29:43.610,   45.190,   77.111.247.41,   217.15.20.194,    9286
2020-02-25 08:29:43.580,   45.220,  192.168.250.50,   77.111.247.41,    2824
2020-02-25 08:27:33.290,  178.030,   68.232.34.200,   217.15.20.194,   11356
2020-02-25 08:27:33.250,  178.080,  192.168.250.57,   68.232.34.200,    2754
2020-02-25 08:21:44.960,  526.530,  23.226.231.226,   217.15.20.194,     120
2020-02-25 08:30:11.810,   20.230,     13.232.66.4,   217.15.20.194,    4216
2020-02-25 08:28:30.890,  122.240,   40.114.211.99,   217.15.20.194,    7609
2020-02-25 08:30:11.560,   22.030,  192.168.250.27,    77.74.181.18,    1334
2020-02-25 08:30:11.590,   22.060,    77.74.181.18,   217.15.20.194,     709
2020-02-25 08:30:34.110,    0.000,  192.168.250.62,   192.168.250.1,     152
2020-02-25 08:30:34.110,    0.000,   192.168.250.1,  192.168.250.62,     152
2020-02-25 08:30:34.610,    0.000,  23.226.231.226,   217.15.20.194,      80
2020-02-25 08:30:37.260,    0.000,   192.168.250.3,   192.168.250.1,     186
2020-02-25 08:30:37.260,    0.000,   192.168.250.1,   192.168.250.3,     218
2020-02-25 08:30:37.270,    0.000,   192.168.250.3,     93.92.192.5,    2865
2020-02-25 08:30:37.270,    0.000,     93.92.192.5,   217.15.20.194,    2528
2020-02-25 08:30:28.800,    9.000,  192.168.250.50,   77.111.247.41,     204
2020-02-25 08:30:38.420,    0.000,   192.168.250.3,   192.168.250.1,     142
2020-02-25 08:30:38.430,    0.000,   192.168.250.1,   192.168.250.3,     322
2020-02-25 08:30:38.430,    0.000,   192.168.250.3,   192.168.250.1,     124
2020-02-25 08:30:38.430,    0.000,   192.168.250.1,   192.168.250.3,     124
2020-02-25 08:30:38.430,    0.000,   192.168.250.3,   192.168.250.1,     140
2020-02-25 08:30:38.430,    0.000,   192.168.250.1,   192.168.250.3,     140
2020-02-25 08:30:08.880,   31.110,   192.168.250.3,  23.226.231.226,     308
2020-02-25 08:30:11.980,   29.620,  192.168.250.27,    77.74.181.18,     980
2020-02-25 08:30:12.000,   29.660,    77.74.181.18,   217.15.20.194,     534
2020-02-25 08:21:32.040,  549.750,   192.168.250.3,  23.226.231.226,     572
2020-02-25 08:30:46.780,    0.000,  192.168.250.35,   192.168.250.1,     128
2020-02-25 08:30:46.780,    0.000,  192.168.250.35,   192.168.250.1,     146
2020-02-25 08:30:46.780,    0.000,   192.168.250.1,  192.168.250.35,     464
2020-02-25 08:30:46.790,    0.000,   192.168.250.1,  192.168.250.35,    1058
2020-02-25 08:30:46.790,    0.000,  192.168.250.35,   192.168.250.1,     168
2020-02-25 08:30:46.790,    0.000,   192.168.250.1,  192.168.250.35,     120
2020-02-25 08:30:46.800,    0.000,  192.168.250.35,   17.253.38.125,     152
2020-02-25 08:30:46.810,    0.000,  192.168.250.35,   17.253.54.253,     152
2020-02-25 08:30:46.850,    0.000,   17.253.54.253,   217.15.20.194,     152
2020-02-25 08:30:46.960,    0.000,  192.168.250.35,   17.253.38.253,     152
2020-02-25 08:30:47.460,    0.000,  23.226.231.226,   217.15.20.194,      80
2020-02-25 08:30:38.350,   10.980,    92.118.38.58,   217.15.20.194,    1031
2020-02-25 08:30:38.350,   10.980,   192.168.250.3,    92.118.38.58,     972
2020-02-25 08:30:49.700,    0.000,  192.168.250.50,   192.168.250.1,     300
2020-02-25 08:30:49.760,    0.000,   192.168.250.1,  192.168.250.50,    1072
2020-02-25 08:30:49.770,    0.000,  192.168.250.50,   192.168.250.1,     338
2020-02-25 08:30:49.770,    0.000,   192.168.250.1,  192.168.250.50,     782
2020-02-25 08:30:50.340,    0.000,  192.168.250.50,   192.168.250.1,     192
2020-02-25 08:30:50.440,    0.000,   192.168.250.1,  192.168.250.50,    1042
2020-02-25 08:30:50.560,    0.000,  192.168.250.50,   192.168.250.1,     126
2020-02-25 08:30:50.570,    0.000,   192.168.250.1,  192.168.250.50,    1054
2020-02-25 08:30:50.970,    0.000,  192.168.250.50,   192.168.250.1,     148
2020-02-25 08:30:50.980,    0.000,   192.168.250.1,  192.168.250.50,     936
2020-02-25 08:28:49.610,  121.560,  192.168.250.50,    52.114.75.78,    4891
2020-02-25 08:21:57.850,  534.800,  23.226.231.226,   217.15.20.194,     120
2020-02-25 08:30:21.740,   31.650,   192.168.250.3,  23.226.231.226,     308
2020-02-25 08:30:55.310,    0.000,   35.239.58.193,   217.15.20.194,     122
2020-02-25 08:30:55.310,    0.000, 192.168.250.247,   35.239.58.193,     290
2020-02-25 08:30:56.390,    0.000,  192.168.250.57,   192.168.250.1,     128
2020-02-25 08:30:56.390,    0.000,   192.168.250.1,  192.168.250.57,     128
2020-02-25 08:31:00.270,    0.000,  23.226.231.226,   217.15.20.194,      80
2020-02-25 08:21:44.960,  557.630,   192.168.250.3,  23.226.231.226,     572
2020-02-25 08:28:03.740,  179.490,   68.232.34.200,   217.15.20.194,   11402
2020-02-25 08:28:03.700,  179.530,  192.168.250.50,   68.232.34.200,    2633
2020-02-25 08:31:03.830,    0.000,  192.168.250.27,   192.168.250.1,     156
2020-02-25 08:31:03.830,    0.000,  192.168.250.27,   192.168.250.1,     158
2020-02-25 08:31:03.830,    0.000,  192.168.250.27,   192.168.250.1,     158
